Date,AAPL,AMZN,KO,MSFT,NKE
"2011-05-05",12.383928,197.110001,33.349998,25.790001,20.6525
"2011-05-06",12.380714,197.600006,33.450001,25.870001,20.504999
"2011-05-09",12.414286,200.800003,33.474998,25.83,20.727501
"2011-05-10",12.480357,203.940002,33.669998,25.67,20.875
"2011-05-11",12.401072,204.380005,33.66,25.360001,20.665001
"2011-05-12",12.3775,206.070007,34.154999,25.32,21.145
"2011-05-13",12.160714,202.559998,34.09,25.030001,21.565001
"2011-05-16",11.903571,192.509995,33.915001,24.57,21.317499
"2011-05-17",12.005,194.809998,33.994999,24.52,21.2225
"2011-05-18",12.138214,197.089996,34.150002,24.690001,21.2075
"2011-05-19",12.161786,198.800003,34.23,24.719999,21.5275
"2011-05-20",11.972143,198.649994,34.150002,24.49,21.262501
"2011-05-23",11.942857,196.220001,33.744999,24.17,20.905001
"2011-05-24",11.863929,193.270004,33.735001,24.15,21.0825
"2011-05-25",12.027857,192.259995,33.455002,24.190001,20.797501
"2011-05-26",11.964286,195,33.349998,24.67,21.0175
"2011-05-27",12.050357,194.130005,33.255001,24.76,21.155001
"2011-05-31",12.4225,196.690002,33.404999,25.01,21.112499
"2011-06-01",12.339643,192.399994,33.380001,24.43,20.5375
"2011-06-02",12.360714,193.649994,33.02,24.219999,20.2875
"2011-06-03",12.265715,188.320007,32.764999,23.91,20.09
"2011-06-06",12.072857,185.690002,32.709999,24.01,19.942499
"2011-06-07",11.858571,187.550003,32.599998,24.059999,20.475
"2011-06-08",11.865714,188.050003,32.700001,23.940001,20.025
"2011-06-09",11.838928,189.679993,32.945,23.959999,20.1675
"2011-06-10",11.639286,186.529999,32.695,23.709999,19.915001
"2011-06-13",11.664286,186.289993,32.560001,24.040001,20.127501
"2011-06-14",11.872857,189.960007,32.805,24.219999,20.559999
"2011-06-15",11.669642,185.979996,32.485001,23.74,20.0975
"2011-06-16",11.612857,183.649994,32.744999,24,20.0725
"2011-06-17",11.437857,186.369995,32.810001,24.26,20.2775
"2011-06-20",11.261429,187.720001,32.915001,24.469999,20.807501
"2011-06-21",11.617857,194.229996,33.130001,24.76,21.127501
"2011-06-22",11.521786,191.630005,33.200001,24.65,20.487499
"2011-06-23",11.829643,194.160004,32.490002,24.629999,20.547501
"2011-06-24",11.655357,192.550003,32.465,24.299999,20.295
"2011-06-27",11.858571,201.25,32.605,25.200001,20.405001
"2011-06-28",11.973572,202.350006,33.014999,25.799999,22.475
"2011-06-29",11.93,204.179993,33.355,25.620001,22.445
"2011-06-30",11.988214,204.490005,33.645,26,22.495001
"2011-07-01",12.259286,209.490005,34.044998,26.02,22.955
"2011-07-05",12.479643,213.190002,34.150002,26.030001,22.934999
